Date;Temp.min;Temp.max;Hygrometrie;Pluie;Pression;Temp.int.min;Temp.int.max;Commentaires
01/03/12;;;;;;;;déménagement
02/03/12;;;;;;;;déménagement
03/03/12;;;;;;;;déménagement
18/08/12;;;;;;;;
19/08/12;19;43;47;0;21;;;
20/08/12;21;40;55;0;21;;;
21/08/12;22;42;53;0;16;;;
22/08/12;24;36;70;3;12;;;
23/08/12;20;17;36;0;13;;;
24/08/12;25;;;;;;;
25/08/12;17;34;79;4;17;;;
26/08/12;19;32;50;0;20;;;
27/08/12;14;34;52;0;22;;;
28/08/12;15;25;69;0;19;;;
29/08/12;15;35;71;1;21;;;
30/08/12;19;24;81;23;21;;;
31/08/12;11;16;84;15;24;;;
01/09/12;12;12;86;7;22;;;
02/09/12;12;20;80;0;22;;;
03/09/12;14;16;74;0;20;;;
04/09/12;15;21;79;1;21;;;
05/09/12;16;24;80;0;21;;;
06/09/12;17;27;72;0;26;;;
07/09/12;20;35;78;0;28;;;
08/09/12;16;34;66;0;26;;;Neige 1800
09/09/12;16;37;54;0;21;;;
10/09/12;16;35;64;0;21;;;
11/09/12;15;35;69;1;21;;;
12/09/12;10;20;84;21;21;;;
13/09/12;10;24;58;3;18;;;Neige 1800
14/09/12;10;24;64;0;19;;;
15/09/12;;;;;;;;
16/09/12;10;32;71;0;18;;;
17/09/12;14;34;72;0;18;;;
18/09/12;12;32;75;1;17;;;
19/09/12;10;19;70;14;20;;;
20/09/12;8;27;78;0;25;;;
21/09/12;10;31;71;0;21;;;
22/09/12;16;26;77;7;20;;;
23/09/12;12;31;75;0;12;;;
24/09/12;12;19;90;29;12;;;
25/09/12;12;21;40;0;15;;;
26/09/12;10;22;84;35;16;;;
27/09/12;7;24;74;7;12;;;Neige 1700
28/09/12;8;26;74;0;22;;;
29/09/12;12;19;85;12;21;;;
30/09/12;14;20;77;1;22;;;
01/10/12;14;19;76;1;25;;;
02/10/12;14;25;75;0;26;;;
03/10/12;10;26;74;0;21;;;
04/10/12;12;25;73;0;24;;;
05/10/12;10;29;80;0;25;;;
06/10/12;10;29;74;0;24;;;
07/10/12;15;20;80;0;24;;;
08/10/12;16;23;80;1;23;;;
09/10/12;15;20;82;13;21;;;
10/10/12;15;20;85;7;19;;;
11/10/12;;;;;;;;voile
12/10/12;;;;;;;;voile
13/10/12;;;;;;;;voile
14/10/12;17;27;80;22;10;;;
15/10/12;6;15;73;7;12;;;Froid !
16/10/12;2;19;75;0.5;22;;;
17/10/12;11;21;53;0;18;;;Chaud !
18/10/12;16;21;74;0;20;;;
19/10/12;12;19;72;0;22;;;
20/10/12;10;21;72;0;32;;;
21/10/12;12;22;75;0;22;;;
22/10/12;12;22;80;0;25;;;
23/10/12;12;16;70;0;24;;;
24/10/12;12;21;76;0;22;;;
25/10/12;13;22;77;0;16;;;
26/10/12;12;14;85;4;0;;;
27/10/12;4;9;75;6;15;;;
28/10/12;2;10;72;4;16;;;neige, tempete
29/10/12;1;16;75;0;20;;;
30/10/12;0;12;76;0;12;;;1ere gelée
31/10/12;1;2;81;0;1;;;
01/11/12;2;15;64;0;4;;;
02/11/12;;;;;;;;carry
03/11/12;;;;;;;;carry
04/11/12;10;20;85;27;5;;;pluie cumulée
